language,digs,multis,word_n,expected_complexity,coordinates
languagegen23index0_1_3,1,3,2,2.0197027430485606,"(2, 2.0197027430485606)"
languagegen23index2_1_3.84,1,3.84,3,1.9987810331230422,"(3, 1.9987810331230422)"
languagegen23index3_92_3.83,92,3.83,3,9.971901127449346,"(3, 9.971901127449346)"
languagegen23index4_1_3.51,1,3.51,3,1.9747651031661362,"(3, 1.9747651031661362)"
languagegen23index5_1.59_3,1.59,3,3,2.010016747391255,"(3, 2.010016747391255)"
languagegen23index7_1_3.28.79,1,3.28.79,4,1.902269162674232,"(4, 1.902269162674232)"
languagegen23index10_1.33_3.37,1.33,3.37,4,1.9414771217996474,"(4, 1.9414771217996474)"
languagegen23index11_1_3.82,1,3.82,3,1.9965708427007334,"(3, 1.9965708427007334)"
languagegen23index12_1_3.17,1,3.17,3,1.8597868096660681,"(3, 1.8597868096660681)"
languagegen23index13_1.42_3,1.42,3,3,2.009242636663892,"(3, 2.009242636663892)"
languagegen23index16_1_3.14,1,3.14,3,1.8524239316741626,"(3, 1.8524239316741626)"
languagegen23index17_1.32_3.2.25,1.32,3.2.25,5,1.4967941665615376,"(5, 1.4967941665615376)"
languagegen23index18_3.69_2.1.10.40,3.69,2.1.10.40,6,1.3952886111918925,"(6, 1.3952886111918925)"
languagegen23index19_3_2.1.10.53,3,2.1.10.53,5,1.4040019432145112,"(5, 1.4040019432145112)"
languagegen23index20_3.93_2.1.10,3.93,2.1.10,5,1.4205293985542935,"(5, 1.4205293985542935)"
languagegen23index21_59_2.1.10,59,2.1.10,4,1.6997883943428735,"(4, 1.6997883943428735)"
languagegen23index22_3_2.1.10,3,2.1.10,4,1.4226123916099058,"(4, 1.4226123916099058)"
languagegen23index23_3_2.1.10.76,3,2.1.10.76,5,1.4114452019508363,"(5, 1.4114452019508363)"
languagegen23index24_3_2.1,3,2.1,3,1.7483820059230488,"(3, 1.7483820059230488)"
languagegen23index25_3_2.1.10.13,3,2.1.10.13,5,1.3816621403420775,"(5, 1.3816621403420775)"
languagegen23index26_3_2.10.45,3,2.10.45,4,3.891503036755246,"(4, 3.891503036755246)"
languagegen23index27_3_2.1.10.60,3,2.1.10.60,5,1.408272769088114,"(5, 1.408272769088114)"
languagegen23index28_28_2.1.60,28,2.1.60,4,1.9671177587155197,"(4, 1.9671177587155197)"
languagegen23index29_3.36_2.1.10.4,3.36,2.1.10.4,6,1.3134627601433393,"(6, 1.3134627601433393)"
languagegen23index30_3.4.7_5.1.15,3.4.7,5.1.15,6,1.541854332210167,"(6, 1.541854332210167)"
languagegen23index31_3_5.2.1.15.75,3,5.2.1.15.75,6,1.3574400806716236,"(6, 1.3574400806716236)"
languagegen23index32_3.4.35.89_2.1.15,3.4.35.89,2.1.15,7,1.351520813698787,"(7, 1.351520813698787)"
languagegen23index33_3_5.2.1.15.31,3,5.2.1.15.31,6,1.343057626064343,"(6, 1.343057626064343)"
languagegen23index34_3_5.2.15.36.58,3,5.2.15.36.58,6,3.79314703843889,"(6, 3.79314703843889)"
languagegen23index35_3_5.2.1.15.73,3,5.2.1.15.73,6,1.3566685030570647,"(6, 1.3566685030570647)"
languagegen23index36_4_5.2.1.15.6,4,5.2.1.15.6,6,1.3545198482960967,"(6, 1.3545198482960967)"
languagegen23index37_3_2.1.15.6,3,2.1.15.6,5,1.3795122782686693,"(5, 1.3795122782686693)"
