language,digs,multis,word_n,expected_complexity,coordinates
languagegen12index0_1.5_3,1.5,3,3,1.8151980252237887,"(3, 1.8151980252237887)"
languagegen12index1_1_3.28,1,3.28,3,1.924460312013754,"(3, 1.924460312013754)"
languagegen12index2_1.4_3,1.4,3,3,1.8301136641624696,"(3, 1.8301136641624696)"
languagegen12index3_1_3.35,1,3.35,3,1.9469949564574853,"(3, 1.9469949564574853)"
languagegen12index4_85_3.26.87,85,3.26.87,4,4.617709903002455,"(4, 4.617709903002455)"
languagegen12index5_1_3,1,3,2,2.0197027430485606,"(2, 2.0197027430485606)"
languagegen12index6_1.62_3.69.72,1.62,3.69.72,5,1.911628112976794,"(5, 1.911628112976794)"
languagegen12index8_1_3.36.49,1,3.36.49,4,1.8860156211527832,"(4, 1.8860156211527832)"
languagegen12index9_1_3.50,1,3.50,3,1.9669218259908867,"(3, 1.9669218259908867)"
languagegen12index11_1_3.24.56,1,3.24.56,4,1.879280629969193,"(4, 1.879280629969193)"
languagegen12index12_1_3.64,1,3.64,3,1.9869879216319029,"(3, 1.9869879216319029)"
languagegen12index16_1.31_3.76.36,1.31,3.76.36,5,1.8559933963013253,"(5, 1.8559933963013253)"
languagegen12index17_1.27_3,1.27,3,3,1.9936959703279447,"(3, 1.9936959703279447)"
languagegen12index18_1_3.10.6,1,3.10.6,4,1.695292189875923,"(4, 1.695292189875923)"
languagegen12index21_1_3.81,1,3.81,3,1.9992934986713868,"(3, 1.9992934986713868)"
languagegen12index23_1_3.99.65,1,3.99.65,4,1.9588420903509642,"(4, 1.9588420903509642)"
languagegen12index25_1.75_3,1.75,3,3,2.0166073082830445,"(3, 2.0166073082830445)"
languagegen12index27_1_3.58,1,3.58,3,1.98224036993935,"(3, 1.98224036993935)"
languagegen12index28_47_3.82,47,3.82,3,8.759988500645653,"(3, 8.759988500645653)"
languagegen12index30_1.71_3,1.71,3,3,2.013629378904169,"(3, 2.013629378904169)"
languagegen12index31_1.98_3,1.98,3,3,2.018811104231054,"(3, 2.018811104231054)"
languagegen12index33_1.46_3,1.46,3,3,2.004569331608635,"(3, 2.004569331608635)"
languagegen12index37_1_3.96,1,3.96,3,2.0052170357102157,"(3, 2.0052170357102157)"
languagegen12index38_1_3.7,1,3.7,3,1.8009351789000776,"(3, 1.8009351789000776)"
languagegen12index39_1.12_3,1.12,3,3,1.9507886935968668,"(3, 1.9507886935968668)"
languagegen12index40_1_3.65,1,3.65,3,1.9845619043974698,"(3, 1.9845619043974698)"
languagegen12index42_1.29_3,1.29,3,3,1.9803624859986568,"(3, 1.9803624859986568)"
languagegen12index44_1.78_3.94,1.78,3.94,4,1.956946169009849,"(4, 1.956946169009849)"
