language,digs,multis,word_n,expected_complexity,coordinates
languagegen16index0_1.28_3,1.28,3,3,1.9814145812250297,"(3, 1.9814145812250297)"
languagegen16index1_1_3,1,3,2,2.0197027430485606,"(2, 2.0197027430485606)"
languagegen16index2_1_3.49,1,3.49,3,1.9664317329021876,"(3, 1.9664317329021876)"
languagegen16index3_1_3.69,1,3.69,3,1.9872946660513013,"(3, 1.9872946660513013)"
languagegen16index5_1_3.80,1,3.80,3,1.994570184786413,"(3, 1.994570184786413)"
languagegen16index6_1.18_3,1.18,3,3,1.9765737251190711,"(3, 1.9765737251190711)"
languagegen16index7_1_3.26,1,3.26,3,1.910498230756483,"(3, 1.910498230756483)"
languagegen16index8_1.79.6_3,1.79.6,3,4,1.9294633072290108,"(4, 1.9294633072290108)"
languagegen16index12_1_3.49.21,1,3.49.21,4,1.8643562724357456,"(4, 1.8643562724357456)"
languagegen16index13_1.68_3.59,1.68,3.59,4,1.9795944129275767,"(4, 1.9795944129275767)"
languagegen16index14_1_3.61,1,3.61,3,1.9844510039057082,"(3, 1.9844510039057082)"
languagegen16index15_1_3.99,1,3.99,3,2.0086419192144973,"(3, 2.0086419192144973)"
languagegen16index16_89_3.88,89,3.88,3,10.57011993098704,"(3, 10.57011993098704)"
languagegen16index17_1.80_3,1.80,3,3,2.015318637683218,"(3, 2.015318637683218)"
languagegen16index19_1_3.98,1,3.98,3,2.005037256136693,"(3, 2.005037256136693)"
languagegen16index22_1_3.62,1,3.62,3,1.9847777221465215,"(3, 1.9847777221465215)"
languagegen16index24_1_3.44,1,3.44,3,1.961730604995344,"(3, 1.961730604995344)"
languagegen16index25_1.84_3,1.84,3,3,2.0171133352652935,"(3, 2.0171133352652935)"
languagegen16index28_1.80_3.31.26,1.80,3.31.26,5,1.8154300464231587,"(5, 1.8154300464231587)"
languagegen16index29_1.67_3,1.67,3,3,2.012263551691285,"(3, 2.012263551691285)"
languagegen16index31_1_3.78.46,1,3.78.46,4,1.9235697873458657,"(4, 1.9235697873458657)"
languagegen16index33_1.37.36.95_3,1.37.36.95,3,5,1.9552883749192993,"(5, 1.9552883749192993)"
languagegen16index34_1_3.53,1,3.53,3,1.9759530047655836,"(3, 1.9759530047655836)"
languagegen16index40_1_3.86,1,3.86,3,1.997145813479371,"(3, 1.997145813479371)"
languagegen16index43_1_3.58,1,3.58,3,1.98224036993935,"(3, 1.98224036993935)"
languagegen16index46_1_3.60,1,3.60,3,1.9840784447379978,"(3, 1.9840784447379978)"
languagegen16index48_1.51.19_3.28,1.51.19,3.28,5,1.9002743455133926,"(5, 1.9002743455133926)"
languagegen16index49_11.15_3.62,11.15,3.62,4,9.04312495107863,"(4, 9.04312495107863)"
languagegen16index50_1_3.34,1,3.34,3,1.940395168269207,"(3, 1.940395168269207)"
languagegen16index51_1_3.63,1,3.63,3,1.9888810837032118,"(3, 1.9888810837032118)"
languagegen16index52_1_3.18,1,3.18,3,1.8857182609471932,"(3, 1.8857182609471932)"
languagegen16index53_1.5.52_3,1.5.52,3,4,1.8051784089815475,"(4, 1.8051784089815475)"
languagegen16index55_1_3.22,1,3.22,3,1.890563186846827,"(3, 1.890563186846827)"
languagegen16index56_1_3.76,1,3.76,3,1.9927973544641908,"(3, 1.9927973544641908)"
languagegen16index60_1.7_3,1.7,3,3,1.8728405544690108,"(3, 1.8728405544690108)"
languagegen16index62_1.84_3.24,1.84,3.24,4,1.9055560520140984,"(4, 1.9055560520140984)"
languagegen16index63_37_3,37,3,2,14.676173099767189,"(2, 14.676173099767189)"
languagegen16index64_1.58_3.60,1.58,3.60,4,1.982948278668922,"(4, 1.982948278668922)"
languagegen16index65_1.34_3,1.34,3,3,1.9893983422344397,"(3, 1.9893983422344397)"
languagegen16index66_1_3.12,1,3.12,3,1.8649921649770307,"(3, 1.8649921649770307)"
languagegen16index68_1.22_3.71,1.22,3.71,4,1.9514513434519818,"(4, 1.9514513434519818)"
