language,digs,multis,word_n,expected_complexity,coordinates
languagegen17index0_1.38_3,1.38,3,3,1.9944667444855222,"(3, 1.9944667444855222)"
languagegen17index1_1.59_3.78,1.59,3.78,4,1.957495172427845,"(4, 1.957495172427845)"
languagegen17index4_1_3,1,3,2,2.0197027430485606,"(2, 2.0197027430485606)"
languagegen17index5_31.95_3.59,31.95,3.59,4,9.883636140087033,"(4, 9.883636140087033)"
languagegen17index6_1_3.50,1,3.50,3,1.9669218259908867,"(3, 1.9669218259908867)"
languagegen17index7_1_3.22.32,1,3.22.32,4,1.840106963946896,"(4, 1.840106963946896)"
languagegen17index8_1.43_3,1.43,3,3,2.0018688889677727,"(3, 2.0018688889677727)"
languagegen17index9_1_3.51,1,3.51,3,1.9747651031661362,"(3, 1.9747651031661362)"
languagegen17index10_32_3.37,32,3.37,3,6.092654023381464,"(3, 6.092654023381464)"
languagegen17index11_1_3.36.7,1,3.36.7,4,1.7700280326882023,"(4, 1.7700280326882023)"
languagegen17index13_1.25_3.6,1.25,3.6,4,1.7623750536749605,"(4, 1.7623750536749605)"
languagegen17index14_1_3.49.34,1,3.49.34,4,1.8851539332157397,"(4, 1.8851539332157397)"
languagegen17index15_1.34_3,1.34,3,3,1.9893983422344397,"(3, 1.9893983422344397)"
languagegen17index16_31_3,31,3,2,15.47427349233882,"(2, 15.47427349233882)"
languagegen17index18_1.67_3,1.67,3,3,2.012263551691285,"(3, 2.012263551691285)"
languagegen17index20_1.32_3,1.32,3,3,1.9853461795961014,"(3, 1.9853461795961014)"
languagegen17index21_1.55_3,1.55,3,3,2.009859292929628,"(3, 2.009859292929628)"
languagegen17index22_86.61_3.79,86.61,3.79,4,11.606645066972934,"(4, 11.606645066972934)"
languagegen17index26_62_3.63,62,3.63,3,3.7641345293665758,"(3, 3.7641345293665758)"
languagegen17index27_1.19_3,1.19,3,3,1.9584567474335994,"(3, 1.9584567474335994)"
languagegen17index29_1_3.58,1,3.58,3,1.98224036993935,"(3, 1.98224036993935)"
languagegen17index31_1.38.41_3,1.38.41,3,4,1.9878143955727388,"(4, 1.9878143955727388)"
languagegen17index35_44_3,44,3,2,10.804491583444175,"(2, 10.804491583444175)"
languagegen17index38_1.53.97_3,1.53.97,3,4,2.0079189974734235,"(4, 2.0079189974734235)"
languagegen17index41_1.57_3,1.57,3,3,2.0142456100474266,"(3, 2.0142456100474266)"
languagegen17index44_1.60_3,1.60,3,3,2.014653326160929,"(3, 2.014653326160929)"
languagegen17index45_1_3.68,1,3.68,3,1.9882003782895392,"(3, 1.9882003782895392)"
languagegen17index47_1_3.18,1,3.18,3,1.8857182609471932,"(3, 1.8857182609471932)"
languagegen17index48_1_3.93,1,3.93,3,2.0040715620597527,"(3, 2.0040715620597527)"
languagegen17index52_46_3,46,3,2,13.370003854264827,"(2, 13.370003854264827)"
languagegen17index55_1.55.99_3.71,1.55.99,3.71,5,1.9377613721161988,"(5, 1.9377613721161988)"
languagegen17index60_1.8_3,1.8,3,3,1.8822260726354172,"(3, 1.8822260726354172)"
languagegen17index62_1_3.42,1,3.42,3,1.9602534674798382,"(3, 1.9602534674798382)"
languagegen17index63_1.59_3,1.59,3,3,2.010016747391255,"(3, 2.010016747391255)"
languagegen17index65_1.97_3,1.97,3,3,2.0186626083200077,"(3, 2.0186626083200077)"
languagegen17index66_1_5.2.7,1,5.2.7,4,1.5023227720027907,"(4, 1.5023227720027907)"
languagegen17index67_1_2.39.35,1,2.39.35,4,1.9662666079056221,"(4, 1.9662666079056221)"
languagegen17index68_1_5.2.25,1,5.2.25,4,1.5820537841148032,"(4, 1.5820537841148032)"
languagegen17index69_1.3_2,1.3,2,3,1.7483820059230488,"(3, 1.7483820059230488)"
languagegen17index70_21_5.2,21,5.2,3,4.094752191488287,"(3, 4.094752191488287)"
languagegen17index71_1.56_2,1.56,2,3,2.1411782471762417,"(3, 2.1411782471762417)"
languagegen17index72_1_2,1,2,2,2.1538628295317275,"(2, 2.1538628295317275)"
languagegen17index73_1_5.2.45,1,5.2.45,4,1.60309732603026,"(4, 1.60309732603026)"
languagegen17index74_1_5.2.44,1,5.2.44,4,1.596751900633356,"(4, 1.596751900633356)"
languagegen17index76_1_2.57.92,1,2.57.92,4,1.916882794524946,"(4, 1.916882794524946)"
languagegen17index77_1.82_5,1.82,5,3,5.019492513034655,"(3, 5.019492513034655)"
languagegen17index78_1_5.2.56,1,5.2.56,4,1.6104421991760067,"(4, 1.6104421991760067)"
languagegen17index79_1_5.2,1,5.2,3,1.6399219717171962,"(3, 1.6399219717171962)"
languagegen17index80_1_5.2.48.89,1,5.2.48.89,5,1.5957207340374044,"(5, 1.5957207340374044)"
languagegen17index81_25_5.2,25,5.2,3,4.1138963469182155,"(3, 4.1138963469182155)"
languagegen17index82_1_5.2.55.21,1,5.2.55.21,5,1.5337869424426198,"(5, 1.5337869424426198)"
languagegen17index84_3.51_2.1.10,3.51,2.1.10,5,1.4130837085408958,"(5, 1.4130837085408958)"
languagegen17index85_3_1.10,3,1.10,3,1.886891372429962,"(3, 1.886891372429962)"
languagegen17index86_3_2.1.10,3,2.1.10,4,1.4226123916099058,"(4, 1.4226123916099058)"
languagegen17index87_57_2.1.10.51,57,2.1.10.51,5,1.6775814970329241,"(5, 1.6775814970329241)"
languagegen17index88_3_2.1.10.6,3,2.1.10.6,5,1.365699561657023,"(5, 1.365699561657023)"
languagegen17index89_48_2.1,48,2.1,3,2.0690413001729975,"(3, 2.0690413001729975)"
languagegen17index90_3.68_2.1.10,3.68,2.1.10,5,1.4167050115429753,"(5, 1.4167050115429753)"
languagegen17index91_3_2.1.10.27,3,2.1.10.27,5,1.3873683054432076,"(5, 1.3873683054432076)"
languagegen17index92_78_2.1.10.50,78,2.1.10.50,5,1.680883103125829,"(5, 1.680883103125829)"
languagegen17index93_3_1.10.36,3,1.10.36,4,1.832939569638814,"(4, 1.832939569638814)"
languagegen17index94_3.91_2.41.92,3.91,2.41.92,5,2.8385508682767178,"(5, 2.8385508682767178)"
languagegen17index95_3.79_2.1.10.74.85,3.79,2.1.10.74.85,7,1.4072411704566155,"(7, 1.4072411704566155)"
languagegen17index96_3.82_1.46,3.82,1.46,4,2.3250236121316283,"(4, 2.3250236121316283)"
languagegen17index97_71_2.1.10.43,71,2.1.10.43,5,1.6603345734444326,"(5, 1.6603345734444326)"
languagegen17index98_3.52_2.1.10.42,3.52,2.1.10.42,6,1.3936487525892645,"(6, 1.3936487525892645)"
languagegen17index99_3.33_2.1,3.33,2.1,4,1.6412090837074311,"(4, 1.6412090837074311)"
languagegen17index100_3_1.10.77,3,1.10.77,4,1.8642359823032086,"(4, 1.8642359823032086)"
languagegen17index102_3.62_2.1.10,3.62,2.1.10,5,1.414692365898337,"(5, 1.414692365898337)"
languagegen17index103_3.12_2.1.10,3.12,2.1.10,5,1.396095719443517,"(5, 1.396095719443517)"
languagegen17index104_3.13_2.10,3.13,2.10,4,3.8869566330963825,"(4, 3.8869566330963825)"
languagegen17index105_3_2.1.10.64,3,2.1.10.64,5,1.4063199060609457,"(5, 1.4063199060609457)"
languagegen17index106_3.36_2.1.10,3.36,2.1.10,5,1.4049808276117048,"(5, 1.4049808276117048)"
languagegen17index107_3_2.1.10.20,3,2.1.10.20,5,1.385521924286944,"(5, 1.385521924286944)"
languagegen17index110_3_1.10.30,3,1.10.30,4,1.8494751644131198,"(4, 1.8494751644131198)"
languagegen17index111_3.33_2.1.10.90.23,3.33,2.1.10.90.23,7,1.3759877265737974,"(7, 1.3759877265737974)"
languagegen17index113_3_2.10.76,3,2.10.76,4,3.908247353071799,"(4, 3.908247353071799)"
languagegen17index114_3.4.66_2.1.10.55.25,3.4.66,2.1.10.55.25,8,1.279783408043069,"(8, 1.279783408043069)"
languagegen17index115_4_2.1.10,4,2.1.10,4,1.5236935798069116,"(4, 1.5236935798069116)"
languagegen17index116_3.4.19_2.1,3.4.19,2.1,5,1.4555038207851343,"(5, 1.4555038207851343)"
languagegen17index117_3.4_2.1.10.73.93,3.4,2.1.10.73.93,7,1.317482871872651,"(7, 1.317482871872651)"
languagegen17index118_3.4_2,3.4,2,3,4.054500716599998,"(3, 4.054500716599998)"
languagegen17index120_3.4.30_5.1.15.96,3.4.30,5.1.15.96,7,1.5904712140099724,"(7, 1.5904712140099724)"
languagegen17index121_3.4.7_2.1,3.4.7,2.1,5,1.4353579734462139,"(5, 1.4353579734462139)"
languagegen17index122_4_5.2.1.15,4,5.2.1.15,5,1.410849098147197,"(5, 1.410849098147197)"
languagegen17index123_3.4_5.2.1.15.51,3.4,5.2.1.15.51,7,1.241346741390193,"(7, 1.241346741390193)"
languagegen17index124_3.80_2.1.15,3.80,2.1.15,5,1.485244052561909,"(5, 1.485244052561909)"
languagegen17index125_3.4_5.1.15.33,3.4,5.1.15.33,6,1.5808201871358145,"(6, 1.5808201871358145)"
languagegen17index126_3.4.31_5.2.15.73,3.4.31,5.2.15.73,7,2.4738021279193303,"(7, 2.4738021279193303)"
languagegen17index127_4.18.12_5.2.1.15,4.18.12,5.2.1.15,7,1.3675130699891591,"(7, 1.3675130699891591)"
languagegen17index128_3.4.32.40_2.1,3.4.32.40,2.1,6,1.4691612328116364,"(6, 1.4691612328116364)"
languagegen17index129_3.4_5.2.1.60,3.4,5.2.1.60,6,1.3171628568866938,"(6, 1.3171628568866938)"
languagegen17index130_3.4.98_5.2.1.15.84,3.4.98,5.2.1.15.84,8,1.246502644577513,"(8, 1.246502644577513)"
languagegen17index131_3.4.88_5.2.1.15,3.4.88,5.2.1.15,7,1.2513868437622906,"(7, 1.2513868437622906)"
languagegen17index132_3.4.91_5.2.1.15,3.4.91,5.2.1.15,7,1.2515316460951542,"(7, 1.2515316460951542)"
languagegen17index133_3.4_5.1.15,3.4,5.1.15,5,1.602070140403332,"(5, 1.602070140403332)"
languagegen17index134_3.4_5.2.1.15.92,3.4,5.2.1.15.92,7,1.2493075750989706,"(7, 1.2493075750989706)"
languagegen17index135_3_5.2.1.15,3,5.2.1.15,5,1.365170555439298,"(5, 1.365170555439298)"
