language,digs,multis,word_n,expected_complexity,coordinates
languagegen25index0_1_3.9,1,3.9,3,1.855957697022984,"(3, 1.855957697022984)"
languagegen25index1_1.61_3.12,1.61,3.12,4,1.8568394044856196,"(4, 1.8568394044856196)"
languagegen25index2_1.29_3,1.29,3,3,1.9803624859986568,"(3, 1.9803624859986568)"
languagegen25index4_1_3,1,3,2,2.0197027430485606,"(2, 2.0197027430485606)"
languagegen25index5_1_3.24,1,3.24,3,1.9066918915183144,"(3, 1.9066918915183144)"
languagegen25index7_44.68.93_3,44.68.93,3,4,11.688460475645938,"(4, 11.688460475645938)"
languagegen25index8_1.66_3,1.66,3,3,2.015212953959508,"(3, 2.015212953959508)"
languagegen25index9_1.62_3,1.62,3,3,2.010793530079896,"(3, 2.010793530079896)"
languagegen25index10_1.52_3,1.52,3,3,2.008146453469324,"(3, 2.008146453469324)"
languagegen25index11_1.12_3,1.12,3,3,1.9507886935968668,"(3, 1.9507886935968668)"
languagegen25index12_1_3.30,1,3.30,3,1.9351080435023365,"(3, 1.9351080435023365)"
languagegen25index13_1.23_3,1.23,3,3,1.9707333662815214,"(3, 1.9707333662815214)"
languagegen25index14_1_3.23,1,3.23,3,1.8943194546104953,"(3, 1.8943194546104953)"
languagegen25index16_94_3.54,94,3.54,3,11.391634092357464,"(3, 11.391634092357464)"
languagegen25index17_1.77_3,1.77,3,3,2.0149465140227734,"(3, 2.0149465140227734)"
languagegen25index18_1_3.76,1,3.76,3,1.9927973544641908,"(3, 1.9927973544641908)"
languagegen25index19_1_3.2,1,3.2,3,1.6136490370002163,"(3, 1.6136490370002163)"
languagegen25index20_3_2.1.10,3,2.1.10,4,1.4226123916099058,"(4, 1.4226123916099058)"
languagegen25index21_3_2.1.10.73,3,2.1.10.73,5,1.4109524134513252,"(5, 1.4109524134513252)"
languagegen25index22_3_2.1.27,3,2.1.27,4,1.5711245897832697,"(4, 1.5711245897832697)"
languagegen25index23_3_2.1.84,3,2.1.84,4,1.715383979857926,"(4, 1.715383979857926)"
languagegen25index25_3.60_2.1.10,3.60,2.1.10,5,1.4164631814058664,"(5, 1.4164631814058664)"
languagegen25index26_3_1.10.22,3,1.10.22,4,1.8093609833359803,"(4, 1.8093609833359803)"
languagegen25index27_3_2.1.55,3,2.1.55,4,1.66418828201957,"(4, 1.66418828201957)"
