language,digs,multis,word_n,expected_complexity,coordinates
languagegen15index0_1_3.76,1,3.76,3,1.9927973544641908,"(3, 1.9927973544641908)"
languagegen15index1_1.65.26_3,1.65.26,3,4,1.955093987839446,"(4, 1.955093987839446)"
languagegen15index2_1_3.31.2,1,3.31.2,4,1.5377203309638179,"(4, 1.5377203309638179)"
languagegen15index3_22_3,22,3,2,9.92453709339579,"(2, 9.92453709339579)"
languagegen15index4_1_3,1,3,2,2.0197027430485606,"(2, 2.0197027430485606)"
languagegen15index5_1_3.90.12,1,3.90.12,4,1.8519722866505146,"(4, 1.8519722866505146)"
languagegen15index7_1.72_3,1.72,3,3,2.016290453050414,"(3, 2.016290453050414)"
languagegen15index9_1.80_3,1.80,3,3,2.015318637683218,"(3, 2.015318637683218)"
languagegen15index10_1_3.93,1,3.93,3,2.0040715620597527,"(3, 2.0040715620597527)"
languagegen15index11_1_4.94,1,4.94,3,3.4128879031767236,"(3, 3.4128879031767236)"
languagegen15index12_6.25_3,6.25,3,3,8.175702922187934,"(3, 8.175702922187934)"
languagegen15index15_1.47_3,1.47,3,3,2.0049797507601537,"(3, 2.0049797507601537)"
languagegen15index17_1.95_3,1.95,3,3,2.0178540903284237,"(3, 2.0178540903284237)"
languagegen15index18_1.52_3,1.52,3,3,2.008146453469324,"(3, 2.008146453469324)"
languagegen15index20_1_3.18.26,1,3.18.26,4,1.8131324632497428,"(4, 1.8131324632497428)"
languagegen15index21_1.96.88_3,1.96.88,3,4,2.0152482338124442,"(4, 2.0152482338124442)"
languagegen15index23_1_3.75,1,3.75,3,1.9937871022139901,"(3, 1.9937871022139901)"
languagegen15index24_26_3.1,26,3.1,3,1.9531192043628711,"(3, 1.9531192043628711)"
languagegen15index25_1.34_3,1.34,3,3,1.9893983422344397,"(3, 1.9893983422344397)"
languagegen15index26_1_3.47,1,3.47,3,1.9605846012712531,"(3, 1.9605846012712531)"
languagegen15index27_1_3.26.80,1,3.26.80,4,1.90279828869354,"(4, 1.90279828869354)"
languagegen15index28_1_3.49.64,1,3.49.64,4,1.9146823299008056,"(4, 1.9146823299008056)"
languagegen15index30_1.23_3,1.23,3,3,1.9707333662815214,"(3, 1.9707333662815214)"
languagegen15index32_1_3.98,1,3.98,3,2.005037256136693,"(3, 2.005037256136693)"
languagegen15index33_74.63_3.99,74.63,3.99,4,7.174408990482383,"(4, 7.174408990482383)"
languagegen15index34_1_51.12.27,1,51.12.27,4,3.667903480025885,"(4, 3.667903480025885)"
languagegen15index35_37_3,37,3,2,14.676173099767189,"(2, 14.676173099767189)"
languagegen15index36_64_3,64,3,2,16.56496373890069,"(2, 16.56496373890069)"
languagegen15index37_1.54_3,1.54,3,3,2.0146426202259193,"(3, 2.0146426202259193)"
languagegen15index39_1.50_3,1.50,3,3,2.007007746848356,"(3, 2.007007746848356)"
languagegen15index40_1.54_3.45,1.54,3.45,4,1.9600254108215758,"(4, 1.9600254108215758)"
languagegen15index42_1.81_3.24,1.81,3.24,4,1.9056595822127798,"(4, 1.9056595822127798)"
languagegen15index43_1.70.75.45_3,1.70.75.45,3,5,1.9950275592860751,"(5, 1.9950275592860751)"
languagegen15index44_1.39_3,1.39,3,3,2.0077552758005277,"(3, 2.0077552758005277)"
languagegen15index46_74.49_3,74.49,3,3,11.307846216410992,"(3, 11.307846216410992)"
languagegen15index47_1.99_3.48,1.99,3.48,4,1.9689168297343362,"(4, 1.9689168297343362)"
languagegen15index49_1_3.15,1,3.15,3,1.8591039674965493,"(3, 1.8591039674965493)"
languagegen15index50_1_3.86,1,3.86,3,1.997145813479371,"(3, 1.997145813479371)"
languagegen15index52_1_3.73.2,1,3.73.2,4,1.5927051307127493,"(4, 1.5927051307127493)"
languagegen15index53_1_3.66,1,3.66,3,1.9895264249827198,"(3, 1.9895264249827198)"
languagegen15index54_1.32_3,1.32,3,3,1.9853461795961014,"(3, 1.9853461795961014)"
languagegen15index59_73_3,73,3,2,13.365485735430067,"(2, 13.365485735430067)"
languagegen15index60_1.22_3.36,1.22,3.36,4,1.8833076565621107,"(4, 1.8833076565621107)"
languagegen15index61_57_3.7,57,3.7,3,4.65698928949955,"(3, 4.65698928949955)"
languagegen15index62_1_3.84,1,3.84,3,1.9987810331230422,"(3, 1.9987810331230422)"
languagegen15index64_1_3.83,1,3.83,3,1.9978783332599748,"(3, 1.9978783332599748)"
languagegen15index65_1.29_3,1.29,3,3,1.9803624859986568,"(3, 1.9803624859986568)"
languagegen15index66_1.46_3,1.46,3,3,2.004569331608635,"(3, 2.004569331608635)"
languagegen15index67_1_3.14.38,1,3.14.38,4,1.8193470101571927,"(4, 1.8193470101571927)"
languagegen15index68_1_3.9.44,1,3.9.44,4,1.8187939108971742,"(4, 1.8187939108971742)"
languagegen15index69_1.93_3,1.93,3,3,2.017957386755225,"(3, 2.017957386755225)"
languagegen15index73_1.52.47_3.91,1.52.47,3.91,5,1.960439019514154,"(5, 1.960439019514154)"
languagegen15index75_1.53_3,1.53,3,3,2.0084390648377,"(3, 2.0084390648377)"
languagegen15index76_1.69_3.70,1.69,3.70,4,1.987610720760834,"(4, 1.987610720760834)"
languagegen15index79_10_3,10,3,2,11.163772527789103,"(2, 11.163772527789103)"
languagegen15index80_1_3.41,1,3.41,3,1.948126888131652,"(3, 1.948126888131652)"
languagegen15index81_1.28_3,1.28,3,3,1.9814145812250297,"(3, 1.9814145812250297)"
languagegen15index84_1.4.52_3,1.4.52,3,4,1.819868617000721,"(4, 1.819868617000721)"
languagegen15index85_1.99_3.43.85,1.99,3.43.85,5,1.944986128927566,"(5, 1.944986128927566)"
languagegen15index86_1_3.82,1,3.82,3,1.9965708427007334,"(3, 1.9965708427007334)"
languagegen15index88_1.61_3,1.61,3,3,2.0106853468069765,"(3, 2.0106853468069765)"
