language,digs,multis,word_n,expected_complexity,coordinates
languagegen49index0_36.47.5.10.94.53.85.28.33.3.56.61.34.12.65.77.59.68.67.64.25.20.23.18.41.16.66.2.49.37.19.76.46.38.60.91.45.9.22.51.30.11.4.43.54.14.21.35.44.58.13.78.1.7.96.40.8.24.29.6.72.81.17.15.31.32.79.50.48.42.55.86.73.84_26.39.52.57.62,36.47.5.10.94.53.85.28.33.3.56.61.34.12.65.77.59.68.67.64.25.20.23.18.41.16.66.2.49.37.19.76.46.38.60.91.45.9.22.51.30.11.4.43.54.14.21.35.44.58.13.78.1.7.96.40.8.24.29.6.72.81.17.15.31.32.79.50.48.42.55.86.73.84,26.39.52.57.62,79,1.0051559281198275,"(79, 1.0051559281198275)"
languagegen49index1_36.47.5.10.94.53.85.28.33.3.56.61.89.34.12.65.77.59.68.67.64.25.20.88.23.18.41.16.66.2.49.37.19.76.46.74.38.60.45.9.69.22.51.30.11.4.43.54.14.21.35.44.58.13.78.1.7.96.40.8.24.29.6.72.81.17.15.31.32.79.50.27.48.42.55.62.86.75.73.71_26.39.52.57,36.47.5.10.94.53.85.28.33.3.56.61.89.34.12.65.77.59.68.67.64.25.20.88.23.18.41.16.66.2.49.37.19.76.46.74.38.60.45.9.69.22.51.30.11.4.43.54.14.21.35.44.58.13.78.1.7.96.40.8.24.29.6.72.81.17.15.31.32.79.50.27.48.42.55.62.86.75.73.71,26.39.52.57,84,1.0025460236702106,"(84, 1.0025460236702106)"
languagegen49index2_8.20.80.14.88.39.44.78.16.10.46.4.94.41.3.30.84.51.73.96.12.72.28.65.47.45.63.43.70.57.79.81.40.98.97.34.18.66.90.52.21.11.59.75.69.71.83.67.58.27.89.2.85.6.36.49.53.91.77.29.7.22.62.25.76.93.17.64.87.5.86.82.35.32.26.54.24.60.92.68.19.37.74.55.50.48.38.95.56.33.1.61.15.23.99.31.9.13_42,8.20.80.14.88.39.44.78.16.10.46.4.94.41.3.30.84.51.73.96.12.72.28.65.47.45.63.43.70.57.79.81.40.98.97.34.18.66.90.52.21.11.59.75.69.71.83.67.58.27.89.2.85.6.36.49.53.91.77.29.7.22.62.25.76.93.17.64.87.5.86.82.35.32.26.54.24.60.92.68.19.37.74.55.50.48.38.95.56.33.1.61.15.23.99.31.9.13,42,99,1.0,"(99, 1.0)"
