language,digs,multis,word_n,expected_complexity,coordinates
languagegen11index0_1_3,1,3,2,2.0197027430485606,"(2, 2.0197027430485606)"
languagegen11index1_1_3.31.55.24,1,3.31.55.24,5,1.8392116088797883,"(5, 1.8392116088797883)"
languagegen11index2_1.55_3.39,1.55,3.39,4,1.9435945922616038,"(4, 1.9435945922616038)"
languagegen11index4_1_3.87,1,3.87,3,2.00034598850935,"(3, 2.00034598850935)"
languagegen11index5_1_3.29,1,3.29,3,1.9314202798817914,"(3, 1.9314202798817914)"
languagegen11index7_1_3.58.85,1,3.58.85,4,1.9500317452247293,"(4, 1.9500317452247293)"
languagegen11index12_1.97_3.92,1.97,3.92,4,2.0012338824776776,"(4, 2.0012338824776776)"
languagegen11index13_1_3.25,1,3.25,3,1.9114524434590576,"(3, 1.9114524434590576)"
languagegen11index14_1_3.17,1,3.17,3,1.8597868096660681,"(3, 1.8597868096660681)"
languagegen11index16_1.92_3,1.92,3,3,2.017105284214459,"(3, 2.017105284214459)"
languagegen11index20_65_3.92,65,3.92,3,9.76169069409129,"(3, 9.76169069409129)"
languagegen11index23_1_3.51,1,3.51,3,1.9747651031661362,"(3, 1.9747651031661362)"
languagegen11index24_1.10_3.54,1.10,3.54,4,1.87068258795439,"(4, 1.87068258795439)"
languagegen11index28_1_3.73,1,3.73,3,1.991186026939521,"(3, 1.991186026939521)"
languagegen11index29_1.35_3,1.35,3,3,1.9907601044612178,"(3, 1.9907601044612178)"
languagegen11index32_1_3.11,1,3.11,3,1.8214711168176934,"(3, 1.8214711168176934)"
languagegen11index33_1_3.60,1,3.60,3,1.9840784447379978,"(3, 1.9840784447379978)"
languagegen11index38_1_3.45,1,3.45,3,1.963523351963353,"(3, 1.963523351963353)"
languagegen11index39_1_3.30,1,3.30,3,1.9351080435023365,"(3, 1.9351080435023365)"
languagegen11index42_1.94_3.44,1.94,3.44,4,1.959600614936754,"(4, 1.959600614936754)"
languagegen11index44_1.29_3.35.99,1.29,3.35.99,5,1.9317867677681984,"(5, 1.9317867677681984)"
languagegen11index45_73_3,73,3,2,13.365485735430067,"(2, 13.365485735430067)"
languagegen11index46_1_3.83,1,3.83,3,1.9978783332599748,"(3, 1.9978783332599748)"
languagegen11index47_1.28_3,1.28,3,3,1.9814145812250297,"(3, 1.9814145812250297)"
languagegen11index48_1.7_3,1.7,3,3,1.8728405544690108,"(3, 1.8728405544690108)"
languagegen11index50_1.54_3,1.54,3,3,2.0146426202259193,"(3, 2.0146426202259193)"
languagegen11index51_1_3.91,1,3.91,3,2.0026714502184313,"(3, 2.0026714502184313)"
languagegen11index52_1.31_3,1.31,3,3,1.9844229000085447,"(3, 1.9844229000085447)"
languagegen11index53_1.41_3,1.41,3,3,1.9996449904564935,"(3, 1.9996449904564935)"
languagegen11index54_1_3.73.21,1,3.73.21,4,1.8834613054393317,"(4, 1.8834613054393317)"
languagegen11index55_1.27_3,1.27,3,3,1.9936959703279447,"(3, 1.9936959703279447)"
languagegen11index56_1_3.62,1,3.62,3,1.9847777221465215,"(3, 1.9847777221465215)"
languagegen11index57_36_3.70,36,3.70,3,8.020930585990042,"(3, 8.020930585990042)"
languagegen11index58_1_3.64,1,3.64,3,1.9869879216319029,"(3, 1.9869879216319029)"
languagegen11index62_1.89_3,1.89,3,3,2.016458719227218,"(3, 2.016458719227218)"
languagegen11index63_1.8_3,1.8,3,3,1.8822260726354172,"(3, 1.8822260726354172)"
languagegen11index65_1_3.77,1,3.77,3,1.992428133668125,"(3, 1.992428133668125)"
languagegen11index67_1.19.14_3,1.19.14,3,4,1.8932231296248256,"(4, 1.8932231296248256)"
languagegen11index68_1_3.85,1,3.85,3,1.9985127408119103,"(3, 1.9985127408119103)"
languagegen11index69_1.22_3,1.22,3,3,1.9679509308047014,"(3, 1.9679509308047014)"
languagegen11index70_1.23_3,1.23,3,3,1.9707333662815214,"(3, 1.9707333662815214)"
languagegen11index73_1_3.84,1,3.84,3,1.9987810331230422,"(3, 1.9987810331230422)"
languagegen11index74_1.94.30_3,1.94.30,3,4,1.9963725193772432,"(4, 1.9963725193772432)"
languagegen11index75_1.32_3,1.32,3,3,1.9853461795961014,"(3, 1.9853461795961014)"
languagegen11index77_49.79_3,49.79,3,3,10.14364243767144,"(3, 10.14364243767144)"
languagegen11index78_7_3,7,3,2,6.259785144733795,"(2, 6.259785144733795)"
languagegen11index83_1_3.6,1,3.6,3,1.7894762621197258,"(3, 1.7894762621197258)"
languagegen11index84_1.90_3,1.90,3,3,2.017627455176483,"(3, 2.017627455176483)"
languagegen11index86_74_3,74,3,2,12.340498994953066,"(2, 12.340498994953066)"
languagegen11index88_1.2_3.39,1.2,3.39,4,1.5626140138285805,"(4, 1.5626140138285805)"
languagegen11index89_1.74_3,1.74,3,3,2.014441837557645,"(3, 2.014441837557645)"
languagegen11index90_1.96.81_3,1.96.81,3,4,2.0162577418972156,"(4, 2.0162577418972156)"
languagegen11index91_1.83_3,1.83,3,3,2.0155875318109504,"(3, 2.0155875318109504)"
languagegen11index92_1_3.81,1,3.81,3,1.9992934986713868,"(3, 1.9992934986713868)"
languagegen11index93_1_3.48,1,3.48,3,1.9691664631304426,"(3, 1.9691664631304426)"
languagegen11index95_1.38.15.31_3,1.38.15.31,3,5,1.9057539277602966,"(5, 1.9057539277602966)"
languagegen11index96_1_38.84.45,1,38.84.45,4,4.8378166984301325,"(4, 4.8378166984301325)"
languagegen11index98_1_3.55,1,3.55,3,1.9802057101646926,"(3, 1.9802057101646926)"
