language,digs,multis,word_n,expected_complexity,coordinates
languagegen14index0_1_3,1,3,2,2.0197027430485606,"(2, 2.0197027430485606)"
languagegen14index3_1.8_3,1.8,3,3,1.8822260726354172,"(3, 1.8822260726354172)"
languagegen14index5_1_3.22,1,3.22,3,1.890563186846827,"(3, 1.890563186846827)"
languagegen14index6_1.49_3,1.49,3,3,2.0058751333330567,"(3, 2.0058751333330567)"
languagegen14index7_1_3.21.56,1,3.21.56,4,1.8673051137115233,"(4, 1.8673051137115233)"
languagegen14index8_1_3.61,1,3.61,3,1.9844510039057082,"(3, 1.9844510039057082)"
languagegen14index9_1_3.96,1,3.96,3,2.0052170357102157,"(3, 2.0052170357102157)"
languagegen14index10_1_3.57,1,3.57,3,1.9846336179027917,"(3, 1.9846336179027917)"
languagegen14index12_1.73_3,1.73,3,3,2.0144113337503997,"(3, 2.0144113337503997)"
languagegen14index15_44.73_3,44.73,3,3,10.47032028314963,"(3, 10.47032028314963)"
languagegen14index16_1_3.39,1,3.39,3,1.956178065924539,"(3, 1.956178065924539)"
languagegen14index17_1.86.92_3.56,1.86.92,3.56,5,1.9698601164582088,"(5, 1.9698601164582088)"
languagegen14index18_1.14_3.53,1.14,3.53,4,1.8941925248370675,"(4, 1.8941925248370675)"
languagegen14index20_1_3.63.43,1,3.63.43,4,1.904779861169034,"(4, 1.904779861169034)"
languagegen14index22_1_3.20,1,3.20,3,1.8758980105833944,"(3, 1.8758980105833944)"
languagegen14index23_1_3.19,1,3.19,3,1.8801704004225914,"(3, 1.8801704004225914)"
languagegen14index24_1_3.71,1,3.71,3,1.9885922293133185,"(3, 1.9885922293133185)"
languagegen14index26_1.68.91_3,1.68.91,3,4,2.01010494670039,"(4, 2.01010494670039)"
languagegen14index27_1.75_3,1.75,3,3,2.0166073082830445,"(3, 2.0166073082830445)"
languagegen14index30_1.45_3.52,1.45,3.52,4,1.9221072995550716,"(4, 1.9221072995550716)"
languagegen14index31_1_3.60,1,3.60,3,1.9840784447379978,"(3, 1.9840784447379978)"
languagegen14index35_1_3.77,1,3.77,3,1.992428133668125,"(3, 1.992428133668125)"
languagegen14index36_1.50_3,1.50,3,3,2.007007746848356,"(3, 2.007007746848356)"
languagegen14index37_1.74_3,1.74,3,3,2.014441837557645,"(3, 2.014441837557645)"
languagegen14index39_1.43_3.81,1.43,3.81,4,1.9619645192474837,"(4, 1.9619645192474837)"
languagegen14index43_1_3.53.50,1,3.53.50,4,1.959580428689558,"(4, 1.959580428689558)"
languagegen14index44_1.39.63_3,1.39.63,3,4,2.002140408837694,"(4, 2.002140408837694)"
