language,digs,multis,word_n,expected_complexity,coordinates
languagegen13index0_1.46_3.84,1.46,3.84,4,1.966489461563701,"(4, 1.966489461563701)"
languagegen13index1_1.7_3,1.7,3,3,1.8728405544690108,"(3, 1.8728405544690108)"
languagegen13index2_1_3.9,1,3.9,3,1.855957697022984,"(3, 1.855957697022984)"
languagegen13index3_1_3.58.94,1,3.58.94,4,1.936800410580715,"(4, 1.936800410580715)"
languagegen13index6_1_3,1,3,2,2.0197027430485606,"(2, 2.0197027430485606)"
languagegen13index7_4_3,4,3,2,7.362041542822335,"(2, 7.362041542822335)"
languagegen13index8_1.39_3,1.39,3,3,2.0077552758005277,"(3, 2.0077552758005277)"
languagegen13index9_1.52_3,1.52,3,3,2.008146453469324,"(3, 2.008146453469324)"
languagegen13index11_55_3.42,55,3.42,3,12.554203969167,"(3, 12.554203969167)"
languagegen13index13_1.88.31.91_3,1.88.31.91,3,5,1.9761101587452938,"(5, 1.9761101587452938)"
languagegen13index15_1_3.13,1,3.13,3,1.8455512009658368,"(3, 1.8455512009658368)"
languagegen13index16_1.66_3,1.66,3,3,2.015212953959508,"(3, 2.015212953959508)"
languagegen13index17_1.87_3,1.87,3,3,2.017236624063079,"(3, 2.017236624063079)"
languagegen13index18_1.69_3.10.22,1.69,3.10.22,5,1.7616728149506797,"(5, 1.7616728149506797)"
languagegen13index19_1.70_3,1.70,3,3,2.013324501357572,"(3, 2.013324501357572)"
languagegen13index21_1.25.81_3,1.25.81,3,4,1.9731417451648556,"(4, 1.9731417451648556)"
languagegen13index22_22.72_3.66,22.72,3.66,4,9.575947013745138,"(4, 9.575947013745138)"
languagegen13index24_1_3.93,1,3.93,3,2.0040715620597527,"(3, 2.0040715620597527)"
languagegen13index25_1_3.18,1,3.18,3,1.8857182609471932,"(3, 1.8857182609471932)"
languagegen13index31_1.47_3,1.47,3,3,2.0049797507601537,"(3, 2.0049797507601537)"
languagegen13index33_10_3,10,3,2,11.163772527789103,"(2, 11.163772527789103)"
languagegen13index34_1.51.28_3,1.51.28,3,4,1.972365779542381,"(4, 1.972365779542381)"
languagegen13index36_1_3.26,1,3.26,3,1.910498230756483,"(3, 1.910498230756483)"
languagegen13index39_1.12_3.63,1.12,3.63,4,1.9242825056687625,"(4, 1.9242825056687625)"
languagegen13index41_1_3.32,1,3.32,3,1.929073286287835,"(3, 1.929073286287835)"
languagegen13index42_48_3.89,48,3.89,3,11.13181606223705,"(3, 11.13181606223705)"
languagegen13index43_1_3.10,1,3.10,3,1.8302030565125849,"(3, 1.8302030565125849)"
languagegen13index44_1_3.50,1,3.50,3,1.9669218259908867,"(3, 1.9669218259908867)"
languagegen13index45_1_3.68,1,3.68,3,1.9882003782895392,"(3, 1.9882003782895392)"
languagegen13index46_1.8_3,1.8,3,3,1.8822260726354172,"(3, 1.8822260726354172)"
languagegen13index47_1.45_3,1.45,3,3,2.011167938254699,"(3, 2.011167938254699)"
languagegen13index48_1.15_3.96.88,1.15,3.96.88,5,1.8812870464856424,"(5, 1.8812870464856424)"
languagegen13index51_1.58.93_3,1.58.93,3,4,2.007400570514875,"(4, 2.007400570514875)"
languagegen13index52_1_3.39,1,3.39,3,1.956178065924539,"(3, 1.956178065924539)"
languagegen13index55_1_3.36,1,3.36,3,1.9571311235015,"(3, 1.9571311235015)"
languagegen13index58_1.42_3,1.42,3,3,2.009242636663892,"(3, 2.009242636663892)"
languagegen13index60_1_3.46.82.70,1,3.46.82.70,5,1.8702725389429888,"(5, 1.8702725389429888)"
languagegen13index61_1.40_3,1.40,3,3,1.9967393040389905,"(3, 1.9967393040389905)"
languagegen13index62_1_3.61,1,3.61,3,1.9844510039057082,"(3, 1.9844510039057082)"
languagegen13index63_1.95_3,1.95,3,3,2.0178540903284237,"(3, 2.0178540903284237)"
languagegen13index65_1.4_3.88,1.4,3.88,4,1.8146703701476357,"(4, 1.8146703701476357)"
languagegen13index66_1_3.43,1,3.43,3,1.9530407305232782,"(3, 1.9530407305232782)"
languagegen13index68_1_3.42.40,1,3.42.40,4,1.9441501097793086,"(4, 1.9441501097793086)"
languagegen13index71_1_3.58,1,3.58,3,1.98224036993935,"(3, 1.98224036993935)"
languagegen13index72_1_3.54,1,3.54,3,1.9823077166460663,"(3, 1.9823077166460663)"
languagegen13index73_1_3.81.56,1,3.81.56,4,1.935444230472744,"(4, 1.935444230472744)"
languagegen13index75_1_3.42,1,3.42,3,1.9602534674798382,"(3, 1.9602534674798382)"
languagegen13index76_1.16_3,1.16,3,3,1.9407614280682561,"(3, 1.9407614280682561)"
languagegen13index78_1.36_3.11,1.36,3.11,4,1.8095530758711744,"(4, 1.8095530758711744)"
languagegen13index79_1_3.66,1,3.66,3,1.9895264249827198,"(3, 1.9895264249827198)"
languagegen13index80_1.59.70_3,1.59.70,3,4,2.0036385057002666,"(4, 2.0036385057002666)"
languagegen13index81_1_3.57,1,3.57,3,1.9846336179027917,"(3, 1.9846336179027917)"
languagegen13index82_1_3.31.45,1,3.31.45,4,1.8606956596143087,"(4, 1.8606956596143087)"
languagegen13index84_1_3.60,1,3.60,3,1.9840784447379978,"(3, 1.9840784447379978)"
languagegen13index85_1.85_3,1.85,3,3,2.016133059430173,"(3, 2.016133059430173)"
languagegen13index87_1.44_3,1.44,3,3,2.0030901254990394,"(3, 2.0030901254990394)"
