language,digs,multis,word_n,expected_complexity,coordinates
languagegen3index0_1_5.24,1,5.24,3,3.085978979546068,"(3, 3.085978979546068)"
languagegen3index2_1.73_5,1.73,5,3,4.137118864434721,"(3, 4.137118864434721)"
languagegen3index4_1_5.24.13,1,5.24.13,4,2.2679354178881774,"(4, 2.2679354178881774)"
languagegen3index5_1_5.26,1,5.26,3,3.1311584040794864,"(3, 3.1311584040794864)"
languagegen3index7_1_5.24.61,1,5.24.61,4,3.0095709338832717,"(4, 3.0095709338832717)"
languagegen3index10_1.79_5.24,1.79,5.24,4,3.0631060740337372,"(4, 3.0631060740337372)"
languagegen3index11_1.35_5.24,1.35,5.24,4,3.0788734433843885,"(4, 3.0788734433843885)"
languagegen3index12_1.92_5.24,1.92,5.24,4,2.9683299362928897,"(4, 2.9683299362928897)"
languagegen3index14_1_5.13,1,5.13,3,2.6215929576703316,"(3, 2.6215929576703316)"
languagegen3index17_1.32.9.96_5.24,1.32.9.96,5.24,6,2.8161783069304906,"(6, 2.8161783069304906)"
languagegen3index18_88_5.24,88,5.24,3,6.085071425362645,"(3, 6.085071425362645)"
languagegen3index21_1_24.23.89,1,24.23.89,4,3.8651900894948557,"(4, 3.8651900894948557)"
languagegen3index23_1.47_24.3.88,1.47,24.3.88,5,1.87530218964158,"(5, 1.87530218964158)"
languagegen3index25_44_24.17.23,44,24.17.23,4,4.625062291866467,"(4, 4.625062291866467)"
languagegen3index26_1_24.3.26,1,24.3.26,4,1.8799351235309045,"(4, 1.8799351235309045)"
languagegen3index28_1.44_24.3.63.60,1.44,24.3.63.60,6,1.8499833321065378,"(6, 1.8499833321065378)"
languagegen3index30_1.49_24.3.57,1.49,24.3.57,5,1.8497484668166069,"(5, 1.8497484668166069)"
languagegen3index31_1_24.19,1,24.19,3,5.262552517333615,"(3, 5.262552517333615)"
languagegen3index32_1.44.19_24.27.41,1.44.19,24.27.41,6,2.3859798572870443,"(6, 2.3859798572870443)"
languagegen3index33_1.44.88_24.3,1.44.88,24.3,5,1.897611638435479,"(5, 1.897611638435479)"
languagegen3index35_1.23_24.3,1.23,24.3,4,1.889196105803078,"(4, 1.889196105803078)"
languagegen3index37_1.44_24.3,1.44,24.3,4,1.899357686786254,"(4, 1.899357686786254)"
languagegen3index38_1.94_3.21,1.94,3.21,4,1.8979329470728845,"(4, 1.8979329470728845)"
languagegen3index39_1.77_3.52.16,1.77,3.52.16,5,1.8462437105894611,"(5, 1.8462437105894611)"
languagegen3index40_1.44_3,1.44,3,3,2.0030901254990394,"(3, 2.0030901254990394)"
languagegen3index41_1.44.79_24.3,1.44.79,24.3,5,1.8977508942516768,"(5, 1.8977508942516768)"
languagegen3index42_1.44.33_24.65,1.44.33,24.65,5,4.958185595981916,"(5, 4.958185595981916)"
languagegen3index43_44_3.67,44,3.67,3,9.196937023633376,"(3, 9.196937023633376)"
languagegen3index44_1.44_5.3,1.44,5.3,4,1.7511889907042557,"(4, 1.7511889907042557)"
languagegen3index45_1_3.79.10,1,3.79.10,4,1.8167899429383527,"(4, 1.8167899429383527)"
languagegen3index46_1.44_5.3.16.7,1.44,5.3.16.7,6,1.6060512238641824,"(6, 1.6060512238641824)"
languagegen3index47_1.44_5.3.83,1.44,5.3.83,5,1.737774504017322,"(5, 1.737774504017322)"
languagegen3index48_1_5.16,1,5.16,3,3.2895990545187668,"(3, 3.2895990545187668)"
languagegen3index49_44.85_5.3.16.54,44.85,5.3.16.54,6,4.206412741056432,"(6, 4.206412741056432)"
languagegen3index50_1.44.55_5.3.16,1.44.55,5.3.16,6,1.6795275560355194,"(6, 1.6795275560355194)"
