language,digs,multis,word_n,expected_complexity,coordinates
languagegen10index0_1_3,1,3,2,2.0197027430485606,"(2, 2.0197027430485606)"
languagegen10index1_1_3.98,1,3.98,3,2.005037256136693,"(3, 2.005037256136693)"
languagegen10index6_65_3,65,3,2,15.540152759015255,"(2, 15.540152759015255)"
languagegen10index7_1.59.46_3.76,1.59.46,3.76,5,1.9238723875794255,"(5, 1.9238723875794255)"
languagegen10index8_1.25.93_3,1.25.93,3,4,1.9733908026165958,"(4, 1.9733908026165958)"
languagegen10index11_1.28_3.67,1.28,3.67,4,1.9344405900176904,"(4, 1.9344405900176904)"
languagegen10index13_1.38_3.12.30,1.38,3.12.30,5,1.803972543173413,"(5, 1.803972543173413)"
languagegen10index14_1_3.25,1,3.25,3,1.9114524434590576,"(3, 1.9114524434590576)"
languagegen10index17_1_3.83,1,3.83,3,1.9978783332599748,"(3, 1.9978783332599748)"
languagegen10index18_1_3.86,1,3.86,3,1.997145813479371,"(3, 1.997145813479371)"
languagegen10index19_1.46_3,1.46,3,3,2.004569331608635,"(3, 2.004569331608635)"
languagegen10index22_1.40_3,1.40,3,3,1.9967393040389905,"(3, 1.9967393040389905)"
languagegen10index26_1.34_3.42,1.34,3.42,4,1.902643524860607,"(4, 1.902643524860607)"
languagegen10index28_1.93.4_3,1.93.4,3,4,1.8289000454400108,"(4, 1.8289000454400108)"
languagegen10index31_1_3.4,1,3.4,3,1.7248430093837415,"(3, 1.7248430093837415)"
languagegen10index32_1.43_3.17,1.43,3.17,4,1.8515096294748055,"(4, 1.8515096294748055)"
languagegen10index33_1_3.89,1,3.89,3,2.0010558652088357,"(3, 2.0010558652088357)"
languagegen10index36_1.41_3,1.41,3,3,1.9996449904564935,"(3, 1.9996449904564935)"
languagegen10index40_14_3.49,14,3.49,3,7.73567510640214,"(3, 7.73567510640214)"
languagegen10index41_1_3.11.2,1,3.11.2,4,1.4412262282488764,"(4, 1.4412262282488764)"
languagegen10index44_1_3.43.17,1,3.43.17,4,1.8339957373288143,"(4, 1.8339957373288143)"
languagegen10index46_19.89_3,19.89,3,3,11.201877973592625,"(3, 11.201877973592625)"
languagegen10index48_1.62_3,1.62,3,3,2.010793530079896,"(3, 2.010793530079896)"
languagegen10index51_1.20_3,1.20,3,3,1.9581995890094828,"(3, 1.9581995890094828)"
languagegen10index53_1_3.78,1,3.78,3,1.9951334389635538,"(3, 1.9951334389635538)"
languagegen10index54_1.11_3,1.11,3,3,1.9000792879721764,"(3, 1.9000792879721764)"
languagegen10index56_1_3.38,1,3.38,3,1.9519720859492362,"(3, 1.9519720859492362)"
languagegen10index59_1.68_3,1.68,3,3,2.012602099905267,"(3, 2.012602099905267)"
languagegen10index61_59_3.41,59,3.41,3,11.600584577017017,"(3, 11.600584577017017)"
languagegen10index63_1.29.48_3,1.29.48,3,4,1.9702951207360346,"(4, 1.9702951207360346)"
languagegen10index66_1_3.44,1,3.44,3,1.961730604995344,"(3, 1.961730604995344)"
languagegen10index68_1.96.49_3,1.96.49,3,4,2.002904836724611,"(4, 2.002904836724611)"
languagegen10index70_1_3.54.48,1,3.54.48,4,1.961183482476031,"(4, 1.961183482476031)"
languagegen10index72_1_5.49.86,1,5.49.86,4,3.499382002366435,"(4, 3.499382002366435)"
languagegen10index74_1_5.72,1,5.72,3,3.976740847371313,"(3, 3.976740847371313)"
languagegen10index75_1.2_5,1.2,5,3,1.6488345156702644,"(3, 1.6488345156702644)"
languagegen10index76_1.2.57_5.79,1.2.57,5.79,5,1.6117284160954186,"(5, 1.6117284160954186)"
languagegen10index77_2.6_5,2.6,5,3,5.352124681861722,"(3, 5.352124681861722)"
languagegen10index80_1.2_5.38,1.2,5.38,4,1.5962170676197085,"(4, 1.5962170676197085)"
languagegen10index81_1_5.13.37,1,5.13.37,4,2.5927073977410324,"(4, 2.5927073977410324)"
languagegen10index82_1.23_5,1.23,5,3,2.6865603138365453,"(3, 2.6865603138365453)"
languagegen10index83_1.2.6_5,1.2.6,5,4,1.5804403390577577,"(4, 1.5804403390577577)"
languagegen10index84_1.2.81_5,1.2.81,5,4,1.64558088711536,"(4, 1.64558088711536)"
languagegen10index85_1.2_5.16,1.2,5.16,4,1.5365965051741104,"(4, 1.5365965051741104)"
languagegen10index86_2_5.56.7,2,5.56.7,4,5.3522223832895435,"(4, 5.3522223832895435)"
languagegen10index90_1.84_5.31,1.84,5.31,4,3.5690444788442424,"(4, 3.5690444788442424)"
languagegen10index93_1.2_5.49.29,1.2,5.49.29,5,1.5693748167026187,"(5, 1.5693748167026187)"
languagegen10index96_2_5.9.95,2,5.9.95,4,4.022358071724686,"(4, 4.022358071724686)"
languagegen10index98_1.2_5.58,1.2,5.58,4,1.6181999701731458,"(4, 1.6181999701731458)"
languagegen10index99_1.2.44_5.66,1.2.44,5.66,5,1.6043120064104843,"(5, 1.6043120064104843)"
languagegen10index100_1.2.37_5,1.2.37,5,4,1.638120035689004,"(4, 1.638120035689004)"
languagegen10index101_2.29_5,2.29,5,3,7.033379259995388,"(3, 7.033379259995388)"
languagegen10index102_2_5.47.38,2,5.47.38,4,5.385515435268851,"(4, 5.385515435268851)"
languagegen10index104_1.2.77_5.44,1.2.77,5.44,5,1.6037857648721143,"(5, 1.6037857648721143)"
languagegen10index105_1.2.59.89_5.19,1.2.59.89,5.19,6,1.545986257593444,"(6, 1.545986257593444)"
languagegen10index107_1.2.92_5,1.2.92,5,4,1.6472841887149088,"(4, 1.6472841887149088)"
languagegen10index109_1.2_5.88,1.2,5.88,4,1.6262464554514846,"(4, 1.6262464554514846)"
languagegen10index110_1.2.98_5,1.2.98,5,4,1.6481976308006165,"(4, 1.6481976308006165)"
languagegen10index111_1.2.7_5,1.2.7,5,4,1.5843552807140853,"(4, 1.5843552807140853)"
languagegen10index115_2_5.28,2,5.28,3,5.768642217437549,"(3, 5.768642217437549)"
languagegen10index118_1.18_5,1.18,5,3,3.0785894363521566,"(3, 3.0785894363521566)"
languagegen10index120_1.2.19_5,1.2.19,5,4,1.6238267736048793,"(4, 1.6238267736048793)"
languagegen10index121_1.2.21_5,1.2.21,5,4,1.6310660335174003,"(4, 1.6310660335174003)"
languagegen10index122_1_5.36,1,5.36,3,3.877585000248861,"(3, 3.877585000248861)"
languagegen10index123_1.2.33_5.63,1.2.33,5.63,5,1.6123502424397445,"(5, 1.6123502424397445)"
languagegen10index125_1.27_5,1.27,5,3,3.4101668704199364,"(3, 3.4101668704199364)"
languagegen10index127_2.32_5.6,2.32,5.6,4,2.7292517619616734,"(4, 2.7292517619616734)"
languagegen10index128_1.2.68_5.16.57,1.2.68,5.16.57,6,1.5184206697664895,"(6, 1.5184206697664895)"
languagegen10index129_2_5.6.3.66.44,2,5.6.3.66.44,6,2.536558651922511,"(6, 2.536558651922511)"
languagegen10index130_1.2_6.47,1.2,6.47,4,2.043124685828409,"(4, 2.043124685828409)"
languagegen10index131_2.1_5.48,2.1,5.48,4,1.6123250937032325,"(4, 1.6123250937032325)"
